EMDStationID_Current,CollDate,FishSampID,Lat_Dec_USGS,Long_Dec_USGS,Keep,,,,,,
08T-ISG,10/2/2024,1191,43.251844,-71.100789,keep,,,,,,
08W-CLD,7/17/2002,54,43.26379,-72.22734,,,,,,,
08W-CLD,7/22/2019,976,43.26379,-72.22734,keep,,,,,,
10-WNR,7/13/2015,779,43.267502,-71.918803,keep,,,,,,
10-WNR,8/30/2022,1043,43.267502,-71.918803,,,,,,,
01S-SAN,8/11/2003,90,43.284363,-71.358367,,,,,,,
01S-SAN,7/27/2004,319,43.284363,-71.358367,keep,,,,,,
01S-SAN,7/16/2007,642,43.284363,-71.358367,,,,,,,
03-SAN,8/11/2003,89,43.292649,-71.36072,,,,,,,
03-SAN,8/5/2004,318,43.292649,-71.36072,keep,,,,,,
03-SAN,7/17/2007,640,43.292649,-71.36072,,,,,,,
00R-LSG,8/3/2006,615,43.30566,-72.38526,,,,,,,
00R-LSG,8/4/2022,1053,43.30566,-72.38526,keep,,,,,,
08-BIG,7/17/2017,844,43.324363,-71.202226,,,,,,,
08-BIG,8/26/2019,960,43.324363,-71.202226,keep,,,,,,
04-SAN,8/18/2003,91,43.32655,-71.38782,,,,,,,
04-SAN,8/6/2004,320,43.32655,-71.38782,keep,,,,,,
04-SAN,7/17/2007,641,43.32655,-71.38782,,,,,,,
01-XD3,7/16/2015,769,43.503496,-71.910193,,,,,,,
01-XD3,7/30/2015,770,43.503496,-71.910193,keep,,,,,,
02R-JWT,8/15/2016,792,43.531742,-71.463325,,,,,,,
02R-JWT,8/25/2020,1022,43.531742,-71.463325,,,,,,,
02R-JWT,7/30/2024,1197,43.531742,-71.463325,keep,,,,,,
04-WIM,7/7/2009,661,43.559497,-71.869015,,,,,,,
04-WIM,9/1/2009,662,43.559497,-71.869015,,should have a sample from 2016.  keep the one from 2016,,,,,
04-WIM,8/17/2016,,,,keep
01-HMP,7/6/2016,816,43.575664,-71.979565,,,,,,,
01-HMP,7/18/2016,817,43.575664,-71.979565,keep,,,,,,
01-STW,9/18/2023,1130,43.60752528,-72.316665,,,,,,,
01-STW,9/3/2024,1178,43.60752528,-72.316665,keep,,,,,,
01T-MKB,8/17/2017,897,43.69188,-72.27074,,,,,,,
01T-MKB,8/19/2021,1032,43.69188,-72.27074,keep,,,,,,
08-INR,6/24/2009,663,43.696172,-71.98133,,,,,,,
08-INR,8/12/2009,664,43.696172,-71.98133,keep,,,,,,
01-UHB,6/29/2010,684,43.755425,-71.668149,,,,,,,
01-UHB,8/16/2010,685,43.755425,-71.668149,keep,,,,,,
02-GNB,9/22/2015,773,43.807535,-72.163561,keep,,,,,,
02-GNB,9/19/2019,994,43.807535,-72.163561,,,,,,,
02-GNB,8/18/2023,1203,43.807535,-72.163561,,,,,,,
01T-GNB,9/22/2015,777,43.807952,-72.165495,keep,,,,,,
01T-GNB,9/11/2019,993,43.807952,-72.165495,,,,,,,
01T-GNB,8/18/2023,1204,43.807952,-72.165495,,,,,,,
06-SBR,8/25/2016,784,43.818757,-71.930494,,,,,,,
